IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F
2011,4,7,39.150000000000006
2011,4,8,46.974999999999994
2011,4,9,49.55
2011,4,10,43.05
2011,4,11,45.125
2011,4,12,49.675
2011,4,13,40.775000000000006
2011,4,14,30.549999999999997
2011,4,15,33.55
2011,4,16,30.0
2011,4,17,26.775
2011,4,18,30.200000000000003
2011,4,19,30.674999999999997
2011,4,20,35.6
2011,4,21,37.575
2011,4,22,41.7
2011,4,23,37.425
2011,4,24,45.05
2011,4,25,52.25
2011,4,26,49.375
2011,4,27,36.525000000000006
2011,4,28,41.474999999999994
2011,4,29,72.78873239436619
2011,4,30,47.87042253521127
2011,5,1,31.066666666666666
2011,5,2,32.95
2011,5,3,41.55
2011,5,4,49.40857142857143
2011,5,5,47.8
2011,5,6,47.099999999999994
2011,5,7,51.25
2011,5,8,53.425
2011,5,9,54.575
2011,5,10,54.974999999999994
2011,5,11,62.599999999999994
2011,5,12,50.12676056338028
2011,5,13,44.099999999999994
2011,5,14,48.375
2011,5,15,51.1
2011,5,16,52.4
2011,5,17,58.324999999999996
2011,5,18,55.05
2011,5,19,61.925000000000004
2011,5,20,66.23050847457627
2011,5,21,60.75
2011,5,22,59.125
2011,5,23,59.0
2011,5,24,49.05
2011,5,25,47.875
2011,5,26,46.275000000000006
2011,5,27,47.974999999999994
2011,5,28,50.44210526315789
2011,5,29,53.85
2011,5,30,55.04507042253521
2011,5,31,60.575
2011,6,1,51.9
2011,6,2,50.13235294117647
2011,6,3,64.75999999999999
2011,6,4,64.30000000000001
2011,6,5,57.199999999999996
2011,6,6,62.348837209302324
2011,6,8,51.858064516129026
2011,6,9,74.72222222222223
2011,6,10,52.025000000000006
2011,6,11,54.725
2011,6,12,57.099999999999994
2011,6,13,59.974999999999994
2011,6,14,65.75
2011,6,15,59.050000000000004
2011,6,16,59.300000000000004
2011,6,17,61.724999999999994
2011,6,18,60.625
2011,6,19,58.300000000000004
2011,6,20,56.325
2011,6,21,57.949999999999996
2011,6,22,55.2
2011,6,23,54.25915492957746
2011,6,24,59.150000000000006
2011,6,25,63.800000000000004
2011,6,26,63.775000000000006
2011,6,27,61.32500000000001
2011,6,28,61.324999999999996
2011,6,29,63.775000000000006
2011,6,30,70.4338028169014
2011,7,1,76.03333333333333
2011,7,2,69.15
2011,7,3,64.4
2011,7,4,72.30000000000001
2011,7,5,70.65
2011,7,6,65.94999999999999
2011,7,7,68.02535211267606
2011,7,8,65.84507042253522
2011,7,9,67.1
2011,7,10,72.775
2011,7,11,68.875
2011,7,12,62.375
2011,7,13,57.3774647887324
2011,7,14,59.824999999999996
2011,7,15,66.57499999999999
2011,7,16,75.35
