IYEAR,IMONTH,IDAY,MAXF,AVGF,MINF
2022,12,17,28,18.3,7
2022,12,18,7,3.5,-2
2022,12,19,7,4.9,-1
2022,12,20,5,-5.7,-19
2022,12,21,-8,-13.9,-21
2022,12,22,-7,-9.5,-14
2022,12,23,0,-7.5,-15
2022,12,24,2,-3.6,-8
2022,12,25,0,-6.2,-11
2022,12,26,10,2,-7
2022,12,27,19,12.6,5
2022,12,28,27,22.8,18
2022,12,29,31,25.6,19
2022,12,30,22,14.2,5
2022,12,31,27,20.5,11
2023,1,1,27,25.6,21
2023,1,2,21,17.6,16
2023,1,3,21,17.4,13
2023,1,4,24,20.1,16
2023,1,5,17,7.1,-7
2023,1,6,21,3.6,-9
2023,1,7,24,6.3,-6
2023,1,8,29,13,0
2023,1,9,30,9.6,1
2023,1,10,29,27.9,27
2023,1,11,30,28.1,26
2023,1,12,25,18.4,12
2023,1,13,12,9.6,7
2023,1,14,24,18.9,12
2023,1,15,34,27.5,23
2023,1,16,33,31.4,28
2023,1,17,32,30.1,23
2023,1,18,25,22.8,21
2023,1,19,24,22.2,19
2023,1,20,23,19.1,17
2023,1,21,23,19.3,12
2023,1,22,18,16.4,13
2023,1,23,28,22,14
2023,1,24,24,20.5,11
2023,1,25,22,18.1,3
2023,1,26,13,3.9,-9
2023,1,27,18,12.3,-2
2023,1,28,0,-9.1,-22
2023,1,29,-1,-14.1,-29
2023,1,30,-3,-14.4,-31
2023,1,31,5,-10.3,-28
2023,2,1,10,-8.7,-25
2023,2,2,8,-4.7,-19
2023,2,3,-3,-14.2,-27
2023,2,4,20,4.6,-9
2023,2,5,17,9.9,-7
2023,2,6,33,21.4,-10
2023,2,7,32,28.2,19
2023,2,8,44,25.3,7
2023,2,9,33,21.3,9
2023,2,10,28,12,-10
2023,2,11,46,30.2,16
2023,2,12,42,29.9,16
2023,2,13,41,30.5,18
2023,2,14,40,33.2,20
2023,2,15,32,20.4,5
2023,2,16,13,2.6,-9
2023,2,17,25,9.7,-17
2023,2,18,36,27.8,19
2023,2,19,29,20.1,-1
2023,2,20,20,12,-3
2023,2,21,10,2.1,-6
2023,2,22,11,2.8,-7
2023,2,23,4,-0.3,-10
2023,2,24,10,-1.3,-25
2023,2,25,20,8.9,1
2023,2,26,24,9.1,-11
2023,2,27,29,25.8,18
2023,2,28,34,22.5,4
2023,3,1,24,17.1,10
2023,3,2,26,11,-13
2023,3,3,35,22,12
2023,3,4,37,14.2,1
2023,3,5,38,19.4,-1
2023,3,6,37,29.2,19
2023,3,7,35,23.6,6
2023,3,8,35,29.4,26
2023,3,9,34,28.8,24
2023,3,10,30,23.8,16
2023,3,11,26,22.4,17
2023,3,12,23,22.8,22
2023,3,13,27,13.6,-1
2023,3,14,31,13.1,-12
2023,3,15,39,28.9,14
2023,3,16,34,26.7,15
2023,3,17,15,10.6,4
2023,3,18,23,13,7
2023,3,19,40,20.3,-5
2023,3,20,29,18.5,5
2023,3,21,31,21.9,4
2023,3,22,32,28.9,24
2023,3,23,34,20.2,8
2023,3,24,38,18.1,-6
2023,3,25,38,27.4,7
2023,3,26,35,26.6,16
2023,3,27,33,22.1,9
2023,3,28,19,13.8,1
2023,3,29,24,11.9,-1
2023,3,30,34,17.4,-10
2023,3,31,39,31.6,25
2023,4,1,38,27.3,18
2023,4,2,43,31.2,18
2023,4,3,35,30.7,26
2023,4,4,26,23.9,22
2023,4,5,33,26.6,19
